frase,etiqueta
Cambia el nombre del departamento de Aseguramiento de Calidad a Gestión de la Calidad,Cambio
Se reordenan los numerales del procedimiento de auditorías internas PRO-SGC-09,Cambio
"Se corrige la fecha de vigencia del formato FO-RHU-02, antes 2022, ahora 2024",Cambio
Cambia el formato del encabezado de todos los procedimientos para incluir el logotipo actualizado,Cambio
Se actualiza la redacción del objetivo de calidad número 3 para mayor claridad,Cambio
Emisión inicial del procedimiento de gestión de riesgos y oportunidades,Emisión
Creación del formato de control de cambios en el producto FO-SGC-15,Emisión
Emisión inicial con la finalidad de documentar el proceso de auditorías internas,Emisión
Primera emisión del manual de procedimientos del área de producción,Emisión
Emisión inicial del procedimiento de capacitación y competencia del personal,Emisión
Se elimina la inspección dimensional duplicada del vástago del atomizador en el área de ensamble,Eliminación
Se retira el molde de la válvula dosificadora modelo antiguo al sustituirse por el de alta cavidad,Eliminación
Se elimina el requisito de doble verificación del código de arte en órdenes menores a 500 piezas,Eliminación
Se elimina el anexo de especificaciones del estuche compacto descontinuado para el cliente Fuller,Eliminación
Se retira del procedimiento de calibración el instrumento de medición de torque obsoleto,Eliminación
Se elimina el punto de inspección de rebaba en piezas moldeadas por integrarse al escaneo automático,Eliminación
Se da de baja el formato de liberación de moldes FO-PRO-14,Eliminación
"Se elimina la revisión semanal de inventario de resina, ahora se hace de forma diaria",Eliminación
Se elimina el requisito de firma del supervisor de inyección en el reporte de turno,Eliminación
Se retira la especificación de color Pantone anterior del dispensador para Avon,Eliminación
Se elimina el anexo de proveedores de válvulas no autorizados,Eliminación
Se elimina la prueba de hermeticidad duplicada en los envases tipo spray,Eliminación
Se suprime el punto 7.1.5 por no aplicar al proceso de ensamble de compactos,Eliminación
Se elimina el registro físico de arranque de molde al sustituirse por bitácora digital,Eliminación
Se retira del alcance del sistema de gestión la línea de maquila externa de tapas,Eliminación
Emisión inicial del procedimiento de calificación de moldes de alta cavidad,Emisión
Creación del procedimiento de inspección de válvulas dosificadoras para el cliente Jafra,Emisión
Primera emisión del instructivo de arranque de máquina de inyección CNC,Emisión
Emisión inicial del formato de control de código de arte y código de cliente FO-PRO-09,Emisión
Creación del procedimiento de control de calidad de atomizadores y sprays,Emisión
Emisión inicial del anexo de especificaciones técnicas del estuche compacto para Revlon,Emisión
Primera versión del procedimiento de calibración de instrumentos de medición dimensional,Emisión
Emisión inicial con la finalidad de documentar el proceso de ensamble de dispensadores,Emisión
Creación del formato de liberación de primera pieza FO-CAL-30,Emisión
Emisión inicial del procedimiento de manejo de resinas y materia prima plástica,Emisión
Primera emisión del procedimiento de mantenimiento preventivo de moldes,Emisión
Emisión inicial del instructivo de empaque y etiquetado de producto terminado para Supracare,Emisión
Se agrega el numeral referente a la trazabilidad del código de arte por lote de producción,Adición
Se adiciona el formato de verificación de torque en válvulas dosificadoras FO-CAL-33,Adición
Se incorpora un nuevo anexo con las especificaciones del molde de alta cavidad para Fuller,Adición
Se agrega la firma del jefe de ingeniería como aprobador adicional en el procedimiento de calificación de moldes,Adición
Se adiciona el procedimiento de control de cambios de ingeniería para modificaciones de molde,Adición
Se incluye una nueva columna de código de arte en el formato de seguimiento de producción FO-PRO-11,Adición
Se agrega el requisito de inspección de hermeticidad para envases tipo spray,Adición
"Se cambia el responsable de liberación de moldes, ahora a cargo del jefe de ingeniería",Cambio
Se corrige el nombre del departamento de Inyección de Plástico a Manufactura de Componentes,Cambio
Se reordenan los anexos del manual de calidad para reflejar la nueva estructura de la línea de ensamble,Cambio
"Se actualiza la frecuencia de calibración de los instrumentos de medición, de anual a semestral",Cambio
Se corrige el código de cliente asignado al atomizador modelo AT-220 para Avon,Cambio
Se elimina el formato de control de moldes en papel al migrar al sistema digital,Eliminación
Se retira la prueba de resistencia al impacto del estuche compacto por no aplicar al material actual,Eliminación
Se elimina el punto de verificación redundante en la línea de ensamble de dispensadores,Eliminación
Se da de baja el procedimiento de manejo de moldes obsoletos PRO-PRO-07,Eliminación
Se elimina el anexo de especificaciones del atomizador descontinuado modelo AT-100,Eliminación
Se retira el requisito de sello de calidad físico en las cajas de producto terminado,Eliminación
Se elimina la revisión mensual de indicadores de rechazo por integrarse al tablero automatizado,Eliminación
Se suprime el punto 8.6.2 por no aplicar al proceso de inyección de plástico,Eliminación
Se elimina el formato de bitácora de cambio de color FO-PRO-08 al sustituirse por registro digital,Eliminación
Se retira de la lista de proveedores autorizados al fabricante de válvulas descontinuado,Eliminación
Se elimina el requisito de aprobación del gerente general para cambios menores de arte,Eliminación
Se da de baja el instrumento de medición de dureza Shore por reemplazo de equipo,Eliminación
Se elimina la inspección de empaque secundario duplicada para el cliente Avon,Eliminación
Se retira el anexo de tiempos de ciclo de inyección desactualizado,Eliminación
Emisión inicial del procedimiento de validación de proceso de inyección de plástico,Emisión
Creación del formato de registro de tiempos de ciclo de moldeo FO-PRO-18,Emisión
Primera emisión del procedimiento de manejo de reclamos de calidad de clientes,Emisión
Emisión inicial del anexo de especificaciones del dispensador para Fuller,Emisión
Creación del procedimiento de control de cambios de arte y diseño de empaque,Emisión
Emisión inicial del instructivo de ensamble de válvulas dosificadoras,Emisión
Primera versión del procedimiento de gestión de moldes en préstamo de clientes,Emisión
Emisión inicial con el propósito de documentar el proceso de retención de muestras,Emisión
Creación del formato de liberación de color FO-CAL-35,Emisión
Emisión inicial del procedimiento de manejo de material no conforme en planta,Emisión
Primera emisión del anexo de tolerancias dimensionales para atomizadores,Emisión
Emisión inicial del procedimiento de calibración de básculas y equipo de pesaje,Emisión
Creación del instructivo de manejo de resinas recicladas para producción interna,Emisión
Emisión inicial del procedimiento de trazabilidad de código de arte por orden de producción,Emisión
Se agrega el requisito de prueba de caída para los estuches compactos exportados,Adición
Se adiciona el anexo de especificaciones del atomizador modelo AT-310 para Revlon,Adición
Se incorpora el registro de trazabilidad de resina por lote en el formato de producción FO-PRO-16,Adición
Se agrega la validación de color en línea para los dispensadores de Fuller,Adición
Se adiciona el procedimiento de manejo de piezas metálicas para ensamble de válvulas,Adición
Se incluye el campo de fecha de calificación en el formato de moldes FO-PRO-14,Adición
Se agrega el requisito de doble inspección visual para pedidos de exportación,Adición
Se adiciona el anexo con el listado de proveedores certificados de resina,Adición
Se incorpora la firma electrónica como método válido de aprobación en los formatos de calidad,Adición
Se agrega el procedimiento de retención de muestras de producto terminado,Adición
Se adiciona el criterio de aceptación de fuerza de accionamiento para válvulas dosificadoras,Adición
Se incluye un nuevo anexo con el flujo de aprobación de arte para clientes nuevos,Adición
Se cambia la ubicación de la firma de calidad en el formato de liberación de primera pieza,Cambio
"Se corrige el nombre del cliente en el anexo de especificaciones, de Supra Care a Supracare",Cambio
Se actualiza el rango de tolerancia dimensional del vástago del atomizador de 0.05 a 0.03 milímetros,Cambio
Cambia el nombre del procedimiento de manejo de moldes a procedimiento de mantenimiento y calificación de moldes,Cambio
"Se reordena la secuencia de aprobación del formato de cambio de ingeniería, primero calidad y después producción",Cambio
"Se corrige la unidad de medida del formato de control de torque, de libras-pulgada a newton-metro",Cambio
Se cambia el criterio de aceptación de rebaba visible en piezas moldeadas para compactos,Cambio
Se actualiza el organigrama del área de ingeniería para reflejar la nueva jefatura de moldes,Cambio
Se corrige el número de parte del molde de la válvula dosificadora en el catálogo interno,Cambio
"Se cambia la frecuencia de verificación del instrumento de medición de espesor de pared, de mensual a quincenal",Cambio
Primera emisión en sistema de gestión de calidad,Emisión
Emisión inicial en el sistema de gestión de calidad,Emisión
Se hizo la emisión del procedimiento,Emisión
Emisión inicial registrada en el sistema,Emisión
Se cambia el nombre del procedimiento de Auditorías de Calidad a Auditorías Internas del Sistema de Gestión,Cambio
Se actualiza la matriz de responsabilidades para incluir al nuevo jefe de ingeniería,Cambio
Índice: re-paginación de las cláusulas 8.5.1 y 8.5.2,Cambio
Corrección de título del Anexo IV a Matriz de moldes y equipos de medición,Cambio
Cambio de posición entre la tabla y el texto explicativo en el numeral 7.1.5,Cambio
Se cambia el uso del formato de liberación de primera pieza por lo establecido en el procedimiento PRO-CAL-30,Cambio
Actualización de objetivos 2020: se generaliza el criterio de responsable a cualquier puesto que ejecute la actividad,Cambio
"Se corrige el código del formato de calibración de instrumentos, antes FO-CAL-08, ahora FO-CAL-08A",Cambio
Cambia el nombre del procedimiento de manejo de moldes a procedimiento de calificación y mantenimiento de moldes,Cambio
El responsable del sistema de gestión pasa a ser el representante de la dirección,Cambio
Cambia nombre de minuta de producción a minuta de seguimiento diario,Cambio
"Se corrige el código de la instrucción de trabajo de ensamble, antes IT-ENS-02, ahora INT-ENS-02",Cambio
Actualización de objetivos 2018: actualización de la matriz de documentos y anexos,Cambio
Índice y contenido: re-paginación de los anexos I al IV,Cambio
Cambio de formato del procedimiento de control de cambios de ingeniería,Cambio
Se cambia el nombre del departamento de Ingeniería de Moldes a Ingeniería y Mantenimiento,Cambio
Actualización de objetivos 2021: cambio de posición entre el organigrama y la política de calidad,Cambio
Se corrige la redacción del procedimiento de manejo de resinas PRO-PRO-06,Cambio
Cambia el nombre de bitácora de arranque a bitácora de arranque y calificación de molde,Cambio
Se actualiza la matriz de documentos y responsabilidades para incluir el área de calidad de proveedores,Cambio
"Modificación de objetivos de calidad, descripción de revisión de objetivos cada seis meses",Cambio
Modificación de objetivos: se establece revisión anual en lugar de semestral,Cambio
Se integró el procedimiento de control de cambios de ingeniería al sistema de gestión,Adición
Se integró el formato de liberación de color al procedimiento de calidad,Adición
Actualización de objetivos 2017: se integra el procedimiento de calibración de básculas,Adición
Se integró el anexo de especificaciones técnicas de válvulas al manual de calidad,Adición
Actualización de objetivos 2019: se integra la matriz de moldes en préstamo,Adición
Se integró el procedimiento de retención de muestras al sistema de gestión de la calidad,Adición
Creación del Sistema de Gestión de la Calidad para el área de manufactura de componentes,Emisión
Creación del procedimiento de control de cambios de ingeniería,Emisión
Creación del sistema de gestión de la calidad conforme a la norma ISO 9001:2015,Emisión
Creación del manual de calidad para la línea de ensamble de válvulas,Emisión
"El anexo de especificaciones del atomizador AT-150 deja de aplicar tras la actualización del diseño, por lo que se retira del manual de calidad",Eliminación
"Se suprime del procedimiento PRO-CAL-07 la referencia a la norma anterior de vigencia de estándares, ya sustituida",Eliminación
"Debido a la automatización del proceso de conteo, se elimina el registro manual de piezas producidas por turno",Eliminación
"Ya no se requiere la doble firma en el formato de cambio de ingeniería para modificaciones menores; se elimina ese paso",Eliminación
"Se elimina del alcance del sistema de gestión la certificación para el proceso de serigrafía, al subcontratarse por completo",Eliminación
"El criterio de rechazo por rayado superficial deja de aplicarse a los estuches compactos y se retira del instructivo de inspección",Eliminación
"Se elimina la firma de calidad en el reporte diario de producción, quedando solo la del supervisor de turno",Eliminación
"La revisión física del molde antes de cada arranque se elimina al incorporarse el sensor de verificación automática",Eliminación
"Ante el crecimiento de pedidos de exportación, se adiciona un punto de inspección aduanal en el flujo de empaque",Adición
"Con la incorporación de la nueva máquina de inyección, se agrega su ficha técnica como anexo del manual de mantenimiento",Adición
"Se adiciona un criterio de aceptación específico para la altura del cuello del envase tipo spray, solicitado por Revlon",Adición
"El sistema de gestión incorpora ahora un registro de no conformidades detectadas en auditorías de proveedores",Adición
"Se agrega al procedimiento de compras la validación de certificados de origen para resinas importadas",Adición
"Como parte de la mejora continua, se adiciona un formato de seguimiento a acciones derivadas de auditorías externas",Adición
"El área de calidad emite por primera vez un procedimiento específico para la validación de nuevos moldes antes de su liberación a producción",Emisión
"Con la entrada del cliente Fuller a nuevas líneas de compactos, se crea el instructivo correspondiente de inspección final",Emisión
"Nace el procedimiento de gestión de cambios de ingeniería como respuesta a los hallazgos de la última auditoría interna",Emisión
"Se documenta por primera vez el proceso de manejo de scrap y reciclaje de resina en planta",Emisión
"El sistema de gestión de la calidad incorpora su primer procedimiento formal para el manejo de quejas de exportación",Emisión
"Queda establecido el procedimiento de calificación de proveedores de válvulas como parte de la actualización del sistema",Emisión
"La responsabilidad de aprobar cambios de color pasa del área de diseño al área de calidad, según se actualizó en el procedimiento correspondiente",Cambio
"El criterio de tolerancia para el peso del envase se ajusta de ±2% a ±1.5% tras la revisión con el cliente Avon",Cambio
"Se modifica el orden de los pasos en el instructivo de arranque de máquina, dejando la verificación de molde como primer paso",Cambio
"El nombre del formato de liberación de color cambia de FO-CAL-35 a FO-CAL-35A al incorporarse una nueva columna",Cambio
Publicación de la primera versión del manual operativo para el departamento de ventas,Emisión
Lanzamiento del nuevo instructivo de empaque para productos de exportación,Emisión
Institución del protocolo de bioseguridad en las áreas comunes,Emisión
Formulación del documento inicial de trazabilidad de materia prima,Emisión
Difusión del primer borrador oficial de la política de medio ambiente,Emisión
Sustitución de los criterios de aceptación en la inspección de recibo,Cambio
Reestructuración del organigrama del área de calidad para incluir al ingeniero de validación,Cambio
Ajuste en los parámetros de temperatura de la máquina inyectora número cinco,Cambio
Transición del sistema manual de firmas al portal electrónico,Cambio
Reforma de las políticas de contratación del personal operativo,Cambio
Renovación del certificado ISO 9001 para la planta principal,Cambio
Enmienda en el texto del apartado de no conformidades mayores,Cambio
Transformación del proceso de auditoría de escritorio a modalidad in situ,Cambio
Adaptación de la normativa interna a la nueva ley federal del trabajo,Cambio
Incorporación de nuevas directrices para la segregación de scrap,Adición
Inserción de la tabla de tolerancias geométricas en el plano del producto,Adición
Anexión de los registros de calibración de termómetros de laboratorio,Adición
Suma de un nuevo criterio para la evaluación de desempeño de proveedores,Adición
Agregado de las firmas electrónicas del gerente de producción y calidad,Adición
Inclusión del proveedor secundario de resinas en la lista maestra,Adición
Expansión del alcance del sistema para cubrir el nuevo almacén externo,Adición
Supresión del formato de reporte diario en papel,Eliminación
Retiro definitivo del anexo de especificaciones obsoletas del cliente anterior,Eliminación
Cancelación del proceso de retrabajo manual para las válvulas dosificadoras,Eliminación
Remoción de los equipos obsoletos del programa de mantenimiento preventivo,Eliminación
Erradicación de la práctica de liberación condicional sin firma del gerente,Eliminación
Descarte del instructivo de limpieza del área de serigrafía,Eliminación
Exclusión de la línea de ensamble manual del alcance de la certificación,Eliminación
Baja del sistema del documento de política de vacaciones,Eliminación
Derogación de la política de horas extras no autorizadas,Eliminación
Abolición del requisito de triple revisión para liberar lotes pequeños,Eliminación
Omisión del paso de doble firma en la solicitud de vacaciones,Eliminación
Concepción del formato único de reporte de incidentes,Emisión
Establecimiento de las pautas de comportamiento ético,Emisión
Reubicación de los archivos históricos al nuevo servidor en la nube,Cambio
Acoplamiento del sistema de gestión con la plataforma ERP,Cambio
Integración del diagrama de flujo de proceso para la nueva línea automatizada,Adición
Anexión del catálogo de defectos visuales actualizados,Adición
Depuración del listado de instrumentos dados de baja,Eliminación
Exclusión del viejo procedimiento de compras internacionales,Eliminación
Alteración de las tolerancias de peso en la inyección de preformas,Cambio
Génesis del plan de contingencia ante fallas eléctricas,Emisión
Anulación del certificado de calidad del proveedor suspendido,Eliminación
Complemento a la matriz de riesgos operacionales,Adición
Redacción del código de ética corporativa,Emisión
Apertura del registro de capacitaciones anuales,Emisión
Elaboración del mapa de procesos de negocio,Emisión
Proclamación de los nuevos objetivos estratégicos,Emisión
Instauración del programa de reconocimiento al desempeño,Emisión
Promulgación de la guía de manejo de crisis,Emisión
Despliegue del protocolo de atención a quejas,Emisión
Producción del manual de buenas prácticas de manufactura,Emisión
Expedición del certificado interno de auditores,Emisión
Diseño del plan de auditorías sorpresivas,Emisión
Institucionalización del reporte de huella de carbono,Emisión
Origen del formato de inspección de primeros artículos,Emisión
Construcción de la matriz de habilidades del personal,Emisión
Despacho de la primera circular de seguridad industrial,Emisión
Arranque del sistema de control de documentos digitales,Emisión
Inauguración de la bitácora de mantenimiento de troqueles,Emisión
Oficialización del flujo de aprobación de proveedores,Emisión
Planteamiento inicial de los KPI de producción,Emisión
Desarrollo del instructivo de calibración de verniers,Emisión
Declaración de la política cero accidentes,Emisión
Conversión de los registros físicos a formato digital,Cambio
Reorganización del comité de calidad,Cambio
Migración del software de gestión documental,Cambio
Evolución de la política de devoluciones,Cambio
Reclasificación de los defectos menores y mayores,Cambio
Permuta de proveedor logístico en la cadena de suministro,Cambio
Modulación de las velocidades de inyección,Cambio
Corrección ortográfica y de estilo en el manual de procedimientos,Cambio
Redistribución de las estaciones de inspección de calidad,Cambio
Reasignación de responsabilidades en la firma de liberaciones,Cambio
Refinamiento de los criterios de aceptación de color,Cambio
Optimización del tiempo de ciclo de secado,Cambio
Regularización de las horas de capacitación obligatoria,Cambio
Traducción del instructivo de seguridad al inglés,Cambio
Armonización del formato de quejas con la norma ISO,Cambio
Calibración y ajuste del equipo de rayos X,Cambio
Reedición de la hoja de ruta de fabricación,Cambio
Actualización de las tolerancias de excentricidad,Cambio
Replanteamiento de la estrategia de muestreo estadístico,Cambio
Modernización del tablero de control de defectos,Cambio
Adhesión de los estándares internacionales de empaque,Adición
Anexamiento de fotografías de los defectos comunes,Adición
Contribución de un nuevo capítulo sobre sustentabilidad,Adición
Integración de la firma del gerente de logística,Adición
Acumulación de evidencias fotográficas en el expediente,Adición
Dotación de equipos de protección personal adicionales,Adición
Ampliación del catálogo de materias primas aprobadas,Adición
Aportación de un flujograma extra para el proceso de cuarentena,Adición
Suplemento a las normas de convivencia en la planta,Adición
Adjunto del certificado de análisis del último lote,Adición
Inserción de códigos QR para fácil acceso a procedimientos,Adición
Sumatoria de requisitos para proveedores nivel A,Adición
Aglomeración de políticas regionales en un solo manual,Adición
Prolongación del periodo de vigencia del formato,Adición
Ensamblaje del nuevo módulo de control estadístico,Adición
Multiplicación de los puntos de control en la línea 3,Adición
Aumento en la frecuencia de limpieza de los tanques,Adición
Infiltración de nuevos indicadores de desempeño en el tablero,Adición
Adosamiento de la etiqueta de seguridad en cajas master,Adición
Incorporación temporal de un ingeniero de soporte técnico,Adición
Desmantelamiento de la estación de inspección redundante,Eliminación
Extirpación del requisito de firma tripartita,Eliminación
Desincorporación del proveedor con mala calificación,Eliminación
Anulación de las políticas de tolerancia cero por obsolescencia,Eliminación
Suspensión temporal del formato de reporte de incidentes menores,Eliminación
Abrogación del acuerdo de calidad de la antigua administración,Eliminación
Extinción del departamento de aseguramiento paralelo,Eliminación
Destrucción de sellos físicos y cambio a sellos digitales,Eliminación
Desprendimiento del anexo de normativas no aplicables,Eliminación
Borrado de los registros duplicados en la base de datos,Eliminación
Censura de las prácticas de liberación por urgencia,Eliminación
Desaparición del manual de papel de la zona de operadores,Eliminación
Supresión de la revisión intermedia por parte de gerencia,Eliminación
Aislamiento y posterior eliminación del lote contaminado,Eliminación
Cancelación del contrato de servicio de auditoría externa,Eliminación
Eliminación drástica de la revisión documental de rutina,Eliminación
Expurgo de archivos muertos del cuarto de control,Eliminación
Levantamiento de la alerta de calidad por proveedor,Eliminación
Prescindencia de la prueba de dureza para esta familia de productos,Eliminación
Simplificación del procedimiento al eliminar cinco pasos innecesarios,Eliminación
Publicación de la primera versión del formato FO-CAL-53 para solicitud de muestras,Emisión
Elaboración inicial de los objetivos de calidad 2024,Emisión
Arranque del sistema de gestión para el proceso de ensamble de compactos,Emisión
Oficialización del instructivo de empaque para el cliente Jafra,Emisión
Despliegue del manual operativo enfocado en el manejo de no conformidades,Emisión
Formulación del formato único de seguimiento a acciones derivadas de auditorías,Emisión
Institución del procedimiento de control de documentos FO-SGC-01 en portal electrónico,Emisión
Promulgación de la hoja de ruta para la máquina inyectora número cinco,Emisión
Diseño del plan de contingencia aplicable al área de manufactura de componentes,Emisión
Concepción del reporte diario de huella de carbono,Emisión
Lanzamiento del código de ética aplicable al departamento de ventas,Emisión
Producción del primer borrador de la matriz de moldes en préstamo,Emisión
Redacción inicial del procedimiento de validación de proceso de inyección,Emisión
Expedición del certificado interno para el control estadístico,Emisión
Desarrollo del formato de liberación de primera pieza FO-CAL-30,Emisión
Origen del protocolo de bioseguridad para el almacén de materia prima,Emisión
Declaración de las directrices aplicables a la inspección de recibo,Emisión
Planteamiento inicial de los KPI enfocados a la reducción de defectos visuales,Emisión
Establecimiento de las pautas para el manejo de resinas recicladas,Emisión
Inauguración del catálogo de defectos de válvulas dosificadoras,Emisión
Génesis del procedimiento de calificación de moldes de alta cavidad,Emisión
Construcción de la matriz de riesgos operacionales del área de serigrafía,Emisión
Apertura del registro de tiempos de ciclo de moldeo FO-PRO-18,Emisión
Despacho de la primera circular de seguridad para clientes de exportación,Emisión
Institucionalización de las políticas de contratación aplicables al área de calidad,Emisión
Transición del formato de inspección de recibo a formato digital,Cambio
Ajuste en los parámetros del molde de alta cavidad para Fuller,Cambio
Sustitución del procedimiento de manejo de moldes por el de mantenimiento de troqueles,Cambio
Reestructuración de la matriz de responsabilidades para incluir firmas electrónicas,Cambio
Evolución del objetivo de calidad para revisar los indicadores quincenalmente,Cambio
Refinamiento de los criterios de aceptación en las tolerancias de peso de preformas,Cambio
Modulación de las velocidades de secado en la línea automatizada,Cambio
Corrección ortográfica en el instructivo de ensamble de válvulas FO-ENS-02,Cambio
Redistribución de las cláusulas del manual de calidad referente a ISO 9001,Cambio
Reasignación de responsabilidades para la liberación de color,Cambio
Permuta del antiguo medidor de torque por equipo con calibración semestral,Cambio
Reedición del anexo de especificaciones técnicas del atomizador AT-310,Cambio
Actualización de las tolerancias dimensionales del vástago del atomizador,Cambio
